"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,   "rms[Rho_5]"   ,   "rms[Rho_6]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,               -32,      -4.596162222,      -5.113601665,               -32,               -32,      -30.54761631,               -32,      -13.82877029,      -5.295586328,       2.992831651,      -2.685324738,       3.200377167,       3.355778275
          0,           0,           1,               -32,       -4.63730907,      -5.154748518,               -32,      -19.10154026,      -12.60702339,               -32,     -0.2642204301,      -1.195535357,       3.223177327,       0.180158592,     -0.4194757725,       4.043761381
          0,           0,           2,               -32,      -4.640830483,      -5.158269934,       -18.4867447,      -18.44820423,      -12.39946489,               -32,     -0.3090778767,       -1.22842808,       3.231133252,        0.18073938,      -4.986800933,       2.106498328
          0,           0,           3,               -32,      -4.644592216,       -5.16203167,      -18.09634081,      -18.11364989,      -12.25536861,               -32,     -0.3098047621,      -1.227702333,       3.229216897,      0.1812026363,      -7.476007262,     -0.2900198401
          0,           0,           4,               -32,      -4.648042381,      -5.165481839,       -17.8503123,      -17.88305172,      -12.14790288,               -32,     -0.3107194202,      -1.227189074,       3.227259066,      0.1816116888,      -10.52260901,      -2.426923206
          0,           0,           5,               -32,       -4.65126356,      -5.168703021,      -17.66622043,      -17.70469287,      -12.06209273,               -32,     -0.3117439414,      -1.226816659,       3.225283368,      0.1819865441,       -12.6548285,      -4.907254275
          0,           0,           6,               -32,      -4.654307787,      -5.171747251,      -17.51768122,      -17.55842168,      -11.99061902,               -32,     -0.3128419449,      -1.226549218,       3.223302319,      0.1823360077,      -12.83099463,      -6.823122566
          0,           0,           7,               -32,      -4.657206012,       -5.17464548,      -17.39258425,      -17.43409259,      -11.92935217,               -32,     -0.3139897456,      -1.226363753,       3.221324005,      0.1826656044,      -12.83099624,      -6.830996242
          0,           0,           8,               -32,      -4.659980459,       -5.17741993,      -17.28425459,      -17.32580564,      -11.87572958,               -32,     -0.3151741877,      -1.226244769,       3.219354122,      0.1829790399,      -12.83099641,      -6.830996416
          0,           0,           9,               -32,      -4.662645106,      -5.180084579,      -17.18858017,      -17.22979948,      -11.82804998,       -31.7459484,     -0.3163820377,      -1.226180775,       3.217395839,      0.1832789626,      -12.83099658,       -6.83099658
          0,           0,          10,               -32,      -4.665212882,      -5.182652358,      -17.10283021,      -17.14351815,      -11.78512621,      -31.50877411,     -0.3176059655,      -1.226164388,       3.215452773,      0.1835673693,      -12.83099673,      -6.830996738
