VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,   "rms[Rho_5]"   ,   "rms[Rho_6]"   ,   "rms[Rho_7]"   ,   "rms[Rho_8]"   ,   "rms[Rho_9]"   ,   "rms[Rho_10]"  ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  ,     "rms[nu]"    
          0,           0,           0,               -32,      -4.593543948,       -5.11098339,               -32,      -29.62192546,      -30.32197215,      -30.60452107,      -30.45423799,      -29.23189083,      -29.60082522,               -32,       -13.8310335,      -5.291154713,       2.991852535,      -2.954685987,      0.3971434108
          0,           0,           1,               -32,      -4.634611541,      -5.152050989,      -19.45897464,      -16.16262571,      -12.60878723,      -17.14592604,      -24.15996807,      -15.80383552,      -16.14157714,      -19.73209539,     -0.3109699294,      -1.229840894,       3.380263824,      0.1900118661,      0.2029473467
          0,           0,           2,               -32,      -4.636908241,      -5.154347691,      -17.46548002,      -16.15168204,      -12.45545064,      -17.13459505,      -24.22680801,      -15.79250461,      -16.12969715,      -19.72078061,     -0.3117309176,      -1.229636383,       3.380247821,      0.1902440643,      0.1069020431
          0,           0,           3,               -32,      -4.639072597,      -5.156512049,      -17.07990209,      -16.15618218,      -12.34319294,      -17.13917805,      -24.31167917,       -15.7970877,      -16.13381001,      -19.72538055,     -0.3122791794,       -1.22936925,       3.379845783,      0.1904918025,     0.04831307682
          0,           0,           4,               -32,      -4.641128705,      -5.158568159,      -16.83299424,       -16.1605349,      -12.25438217,      -17.14458635,      -24.40173423,      -15.80249608,      -16.13877519,      -19.73080649,     -0.3128125156,      -1.229121284,       3.379257211,      0.1907188737,     0.01058795607
          0,           0,           5,      -31.60174963,      -4.643095962,      -5.160535418,      -16.64716048,       -16.1594936,      -12.18077876,      -17.14618123,      -24.48435182,      -15.80409104,      -16.13991873,      -19.73241859,     -0.3133668191,      -1.228906385,       3.378557545,      0.1909259037,    -0.01359462072
          0,           0,           6,      -31.23991212,      -4.644988411,       -5.16242787,      -16.49682527,      -16.15579493,      -12.11785492,      -17.14738467,      -24.56670647,      -15.80529451,       -16.1406668,      -19.72452435,     -0.3139468396,      -1.228724618,       3.377783661,      0.1911167628,    -0.02971301862
          0,           0,           7,      -30.93658291,      -4.646816413,      -5.164255874,      -16.37003935,       -16.1477323,      -12.06285133,       -17.1471132,      -24.63762377,      -15.80502321,      -16.13994133,      -19.71786909,     -0.3145502626,      -1.228572986,       3.376956543,      0.1912946431,    -0.04100857774
          0,           0,           8,      -30.67571837,      -4.648587853,      -5.166027316,      -16.26014941,      -16.13719437,      -12.01396027,       -17.1480236,      -24.71738745,      -15.80593379,      -16.14039302,      -19.71541698,     -0.3151735101,      -1.228448147,       3.376089451,      0.1914619105,    -0.04926248589
          0,           0,           9,      -30.44693416,      -4.650308911,      -5.167748376,      -16.16303118,      -16.12209325,      -11.96993225,      -17.14836016,      -24.78797284,      -15.80627048,      -16.14027891,      -19.71209796,     -0.3158131722,      -1.228347065,       3.375191367,      0.1916203102,    -0.05552323065
