VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",   "rms[Rho_0]"   ,   "rms[Rho_1]"   ,   "rms[Rho_2]"   ,   "rms[Rho_3]"   ,   "rms[Rho_4]"   ,   "rms[Rho_5]"   ,   "rms[Rho_6]"   ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "rms[RhoEve]"  
          0,           0,           0,               -32,      -3.655034558,      -4.172474001,               -32,               -32,               -32,               -32,      -13.99577036,      -7.251163197,          4.209609,      0.7512103136
          0,           0,           1,               -32,       -3.66588286,      -4.183322303,               -32,      -20.14849086,      -13.73163674,               -32,       3.103965818,       1.899447333,       6.688929631,       1.182339824
          0,           0,           2,               -32,      -3.708718361,      -4.226157804,      -23.36983221,      -20.16421283,      -13.74164259,               -32,       3.118102697,       1.887185924,       6.686270318,       1.187578795
          0,           0,           3,               -32,      -3.735101078,      -4.252540521,      -23.08191905,      -20.18088445,      -13.75223483,               -32,        3.11618145,       1.857369191,       6.680425714,       1.192713322
          0,           0,           4,               -32,      -3.755111196,      -4.272550639,      -22.91736183,      -20.19967369,      -13.76391826,               -32,       3.109459811,       1.821450867,       6.675124813,       1.197732984
          0,           0,           5,               -32,      -3.771609563,      -4.289049006,      -22.80330603,      -20.22073681,        -13.776731,               -32,       3.100063183,       1.781768219,       6.671232999,       1.202652809
          0,           0,           6,               -32,      -3.785705136,      -4.303144579,      -22.71675426,      -20.24406909,      -13.79064738,               -32,       3.088921364,       1.739450276,       6.668958357,       1.207484635
          0,           0,           7,               -32,       -3.79800426,      -4.315443703,      -22.64728037,      -20.26961179,      -13.80562326,               -32,       3.076563908,       1.695252811,       6.668211617,       1.212237802
          0,           0,           8,               -32,      -3.808898978,      -4.326338421,      -22.58922299,      -20.29728577,      -13.82160914,               -32,       3.063336574,       1.649794978,       6.668757165,       1.216919875
          0,           0,           9,               -32,      -3.818663431,      -4.336102874,      -22.53919397,      -20.32700564,      -13.83855512,               -32,       3.049483773,       1.603655046,       6.670300298,       1.221537131
          0,           0,          10,               -32,      -3.827497582,      -4.344937025,      -22.49505651,      -20.35868646,      -13.85641307,               -32,       3.035187048,       1.557418566,        6.67254125,        1.22609487
          0,           0,          11,               -32,      -3.835551279,      -4.352990722,      -22.45542235,        -20.392247,      -13.87513763,               -32,       3.020585757,        1.51170279,       6.675206387,       1.230597628
          0,           0,          12,               -32,       -3.84293903,      -4.360378473,      -22.41937053,      -20.42761116,      -13.89468652,               -32,       3.005789342,       1.467162041,        6.67806316,        1.23504933
          0,           0,          13,               -32,      -3.849749837,       -4.36718928,      -22.38627741,      -20.46470831,       -13.9150206,               -32,       2.990885138,       1.424472937,       6.680924335,       1.239453397
          0,           0,          14,               -32,      -3.856053895,      -4.373493338,      -22.35570962,      -20.50347288,      -13.93610375,               -32,       2.975943608,       1.384298117,         6.6836459,        1.24381284
          0,           0,          15,               -32,      -3.861907501,      -4.379346944,      -22.32735572,      -20.54384323,      -13.95790258,               -32,          2.961022,       1.347230948,       6.686121841,       1.248130318
          0,           0,          16,               -32,      -3.867356477,       -4.38479592,      -22.30098247,      -20.58575997,      -13.98038614,               -32,       2.946166998,       1.313730906,       6.688277808,       1.252408202
          0,           0,          17,               -32,      -3.872438791,      -4.389878234,      -22.27640714,      -20.62916348,      -14.00352558,               -32,       2.931416694,       1.284066036,       6.690064849,       1.256648614
          0,           0,          18,               -32,       -3.87717927,      -4.394618713,      -22.25348005,      -20.67399043,       -14.0272937,               -32,       2.916801963,       1.258277998,       6.691453806,       1.260853467
          0,           0,          19,               -32,        -3.8816124,      -4.399051843,      -22.23207375,      -20.72016913,      -14.05166455,               -32,       2.902347678,       1.236184145,       6.692430573,       1.265024492
          0,           0,          20,               -32,      -3.885797783,      -4.403237226,       -22.2120762,      -20.76761311,      -14.07661294,               -32,       2.888074116,        1.21742887,        6.69299215,       1.269163265
          0,           0,          21,               -32,      -3.889783316,      -4.407222759,      -22.19338666,      -20.81621251,      -14.10211394,               -32,       2.873997388,       1.201543056,       6.693143595,       1.273271225
          0,           0,          22,               -32,      -3.893606919,      -4.411046362,      -22.17591304,      -20.86582265,      -14.12814233,               -32,       2.860130061,       1.188010844,       6.692895638,       1.277349694
          0,           0,          23,               -32,      -3.897298768,      -4.414738211,      -22.15957016,      -20.91624904,      -14.15467194,               -32,       2.846481692,       1.176325941,        6.69226285,       1.281399886
          0,           0,          24,               -32,       -3.90088287,      -4.418322313,      -22.14427865,      -20.96722872,      -14.18167501,               -32,        2.83305928,       1.166029856,        6.69126226,       1.285422922
          0,           0,          25,               -32,      -3.904378485,      -4.421817928,      -22.12996415,      -21.01840793,      -14.20912138,               -32,       2.819867643,       1.156732016,       6.689912325,        1.28941984
          0,           0,          26,               -32,      -3.907801239,      -4.425240682,      -22.11655671,      -21.06931843,      -14.23697768,               -32,       2.806909746,       1.148115507,       6.688232171,       1.293391601
          0,           0,          27,               -32,      -3.911164344,      -4.428603787,      -22.10399046,      -21.11935695,      -14.26520629,               -32,       2.794186979,       1.139933448,       6.686241048,       1.297339098
          0,           0,          28,               -32,      -3.914481226,      -4.431920669,      -22.09220321,      -21.16777702,      -14.29376431,               -32,       2.781699394,        1.13200056,       6.683957937,       1.301263163
          0,           0,          29,               -32,      -3.917761376,      -4.435200819,      -22.08113629,      -21.21370624,      -14.32260239,               -32,       2.769445919,       1.124182766,       6.681401282,        1.30516457
          0,           0,          30,               -32,      -3.921005657,      -4.438445099,      -22.07073437,      -21.25620418,       -14.3516634,               -32,       2.757424543,         1.1163872,       6.678588821,       1.309044041
          0,           0,          31,               -32,      -3.924213381,      -4.441652823,      -22.06094532,      -21.29436833,      -14.38088112,               -32,       2.745632464,       1.108553083,       6.675537462,       1.312902249
          0,           0,          32,               -32,      -3.927383065,      -4.444822508,      -22.05172014,      -21.32747655,      -14.41017886,               -32,       2.734066231,       1.100644079,       6.672263222,       1.316739827
          0,           0,          33,               -32,      -3.930512687,       -4.44795213,      -22.04301287,      -21.35512779,      -14.43946812,               -32,       2.722721857,       1.092642068,       6.668781202,       1.320557366
          0,           0,          34,               -32,       -3.93359994,      -4.451039383,      -22.03478053,      -21.37732755,      -14.46864751,               -32,       2.711594931,       1.084542171,       6.665105581,       1.324355421
          0,           0,          35,               -32,      -3.936642354,      -4.454081797,      -22.02698306,      -21.39448006,      -14.49760192,               -32,       2.700680702,       1.076348993,       6.661249639,       1.328134513
          0,           0,          36,               -32,       -3.93963746,      -4.457076903,      -22.01958324,       -21.4072906,      -14.52620237,               -32,       2.689974165,       1.068073597,        6.65722578,       1.331895132
          0,           0,          37,               -32,      -3.942582834,      -4.460022277,      -22.01254661,      -21.41662097,      -14.55430658,               -32,       2.679470127,       1.059731374,       6.653045569,        1.33563774
          0,           0,          38,               -32,      -3.945476205,      -4.462915648,      -22.00584144,      -21.42335074,       -14.5817607,               -32,       2.669163269,       1.051340266,       6.648719781,       1.339362771
          0,           0,          39,               -32,      -3.948315453,      -4.465754896,      -21.99943855,      -21.42827849,      -14.60840238,               -32,       2.659048196,       1.042919608,       6.644258439,       1.343070636
